time_s,target_w,rpm,dc_link_voltage_v,bus_voltage_v,charge_current_a,rectifier_temp_c,buck_temp_c,exhaust_zone_temp_c,throttle_request
114,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
115,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
116,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
117,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
118,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
119,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
120,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
121,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
122,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
123,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
124,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
125,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
126,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
127,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
128,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
129,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
130,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
131,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
132,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
133,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
134,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
135,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
136,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
137,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
138,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
139,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
140,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
141,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
142,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
143,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
144,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
145,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
146,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
147,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
148,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
149,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
150,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
151,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
152,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
153,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
154,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
155,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
156,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
157,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
158,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
159,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
160,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
161,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
162,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
163,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
164,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
165,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
166,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
167,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
168,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
169,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
170,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
171,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
172,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
173,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
174,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
175,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
176,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
177,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
178,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
179,100.0,4610.0,44.5,27.4,3.6496350364963503,33.607658606824124,36.840077952860575,59.11150721130932,0.14285714285714285
180,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
181,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
182,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
183,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
184,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
185,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
186,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
187,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
188,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
189,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
190,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
191,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
192,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
193,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
194,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
195,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
196,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
197,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
198,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
199,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
200,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
201,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
202,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
203,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
204,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
205,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
206,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
207,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
208,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
209,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
210,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
211,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
212,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
213,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
214,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
215,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
216,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
217,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
218,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
219,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
220,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
221,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
222,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
223,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
224,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
225,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
226,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
227,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
228,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
229,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
230,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
231,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
232,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
233,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
234,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
235,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
236,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
237,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
238,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
239,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
240,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
241,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
242,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
243,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
244,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
245,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
246,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
247,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
248,300.0,5230.0,49.5,27.8,10.79136690647482,46.795587123593016,50.08830456808808,92.2505406572667,0.42857142857142855
