"area","item","stato_attuale","priorita","costo_stimato_eur","beneficio","rischio_se_manca","dipendenze","prossima_azione","fase"
"Percezione","GNSS/GPS logging e traccia","documentato","P1","30-120","Coordinate, GPX, geofence e recupero posizione","Nessuna storia percorso o recupero difficile","SD/log, antenna, firmware","Usare GNSS per traccia, non come sensore primario follow-me","Fase 4"
"Percezione","LiDAR 2D DToF schermato","documentato","P1","60-110","Occupancy locale economica e rilevamento ostacoli","Degrado sotto sole o ostacoli non rilevati","Jetson/ROS, staffa, paraluce","Acquistare LD19/equivalente e provare con sole/ombra/fango","Fase 5"
"Percezione","Camera RGB USB","documentato/prototipo placeholder","P2","20-150","Semantica persone/ostacoli e teleoperazione","AI fragile se usata come safety primaria","Jetson, LiDAR, calibrazione","Implementare YOLO solo dopo sensori geometrici e safety MCU","Fase 5"
"Percezione","Calibrazione camera-LiDAR","mancante","P2","0-100","Associa classe visiva e distanza reale","Bounding box senza distanza affidabile","Camera, LiDAR, staffa rigida","Preparare procedura calibrazione estrinseca e test con target noto","Fase 5"
"Sentry","MLX90640 termico","documentato","P2","50-90","Rilevamento passivo notturno a basso consumo","Falsi negativi in buio se si usa solo camera RGB","MCU, I2C, staffa","Integrare solo dopo safety baseline, con conferma geometrica","Fase 6"
"Sentry","LoRa pager tenda","documentato","P2","30-100","Allerta silenziosa e stato minaccia/batteria","Allarme non arriva agli occupanti della tenda","Modulo LoRa rover, pager ESP32-C3","Prototipare pacchetto AES, vibrazione e livelli verde/giallo/rosso","Fase 6"
"Sentry","Deterrenza LED/ultrasuoni non offensiva","documentato","P2","40-160","Dissuasione animale/persona senza contatto fisico","Sentry solo passiva, nessun deterrente","MOSFET, fari, driver piezo, normative locali","Progettare driver isolato e limiti duty-cycle/frequenza","Fase 6"
"Sentry","Yaw-only tracking lento","documentato","P3","0-80","Orientamento fari/sensori verso minaccia senza pattugliamento","Rischio movimento in campo se implementato male","Freni, MCU safety, IMU, terreno stabile","Implementare solo con blocco trazione lineare e limite omega circa 5 deg/s","Fase 6"
"Comunicazioni","4G/LTE SOS","documentato","P2","60-180","Telemetria remota e richiesta aiuto","Rover bloccato senza notifica remota","Alimentazione, antenne, software log","Rinviare dopo log locale e link LoRa base","Fase 7"
"Comunicazioni","LoRa fallback comando/stato","documentato","P1","40-120","Canale basso consumo e lungo raggio","Dipendenza totale da Wi-Fi/4G","MCU/Jetson, antenna, protocollo","Definire messaggi minimi per stato, SOS e sentry","Fase 6"
"Hardening","Rosbag/log missione lato Jetson","documentato","P1","0-80","Permette debug di autonomia e safety","Test outdoor non riproducibili","Storage NVMe/SD, schema topic","Configurare logging automatico per test e missioni","Fase 5"
"Hardening","CI/test automatici","presente parziale","P1","0","Previene regressioni nei moduli ROS","Bug non rilevati prima del test fisico","Repo GitHub, pytest, colcon","Aggiungere workflow colcon/pytest e soglie minime","Fase 7"
"Hardening","Cybersecurity SROS2/firmware firmato","raccomandato","P3","0-300","Riduce rischio command injection e update malevoli","Sistema remoto vulnerabile","Stack stabile, certificati, processo release","Pianificare dopo bringup stabile e prima di telemetria pubblica","Fase 7"
"Test","Banco elettrico e ruote sollevate","mancante","P0","0-100","Verifica potenza senza rischio movimento libero","Primo fault avviene sul terreno","Telaio, VESC, batteria, E-stop","Preparare fixture, checklist e limiti di corrente iniziali","Fase 2"
"Test","Test outdoor progressivi","mancante","P1","0-200","Valida sole, vibrazioni, salita, discesa e sensori","Sistema apparentemente valido solo in laboratorio","Safety P0 completata, logging","Eseguire piano prove da piano lento a pendenze e carico reale","Fase 5"
"Test","Reader/maintainer documentation review","mancante","P2","0","Rende il progetto trasferibile ad altri tecnici","Conoscenza implicita e errori operativi","Report audit, manuale operativo","Far leggere report e checklist a una persona senza contesto e correggere ambiguita","Fase 7"
