"categoria","componente_candidato","fornitore_link","quantita","costo_unitario_eur","costo_totale_eur","peso_unitario_kg","tensione_v","corrente_continua_a","corrente_picco_a","grado_ip","interfaccia","compatibilita_meccanica","compatibilita_software","beneficio","rischio","priorita","fase","stato","test_accettazione","note"
"UWB follow-me","CANDIDATO_DA_VALUTARE","","1 set","","=D12*E12","","3.3/5","","","","SPI/UART","Anchor frontali con distanza nota","Follow-me/vector target","Inseguimento operatore robusto","Target perso o incoerente","P1","Fase 4","Da valutare","Calibrazione distanze e perdita tag","GPS non primario per follow"
"GNSS","CANDIDATO_DA_VALUTARE","","1","","=D13*E13","","3.3/5","","","","UART/USB","Antenna con cielo visibile","Logging GPX/geofence","Traccia e recupero posizione","Nessun log percorso","P1","Fase 4","Da valutare","Export GPX e fix in outdoor","Non comandare follow ravvicinato"
"LiDAR 2D","CANDIDATO_DA_VALUTARE","","1","","=D14*E14","","5/12","","","","UART/USB","Staffa e paraluce frontale","ROS driver/costmap","Occupancy e ostacoli","Degrado al sole o falsi ostacoli","P1","Fase 5","Da valutare","Test sole/ombra/ghiaia/erba","DToF preferito"
"Camera RGB","CANDIDATO_DA_VALUTARE","","1","","=D15*E15","","5","","","","USB/CSI","Staffa rigida con LiDAR","YOLO/teleop","Semantica persone e diagnostica","AI fragile se usata come safety","P2","Fase 5","Da valutare","Streaming stabile e calibrazione base","Non safety primaria"
"ToF safety","CANDIDATO_DA_VALUTARE","","4","","=D16*E16","","3.3/5","","","","I2C","Front-low/down-edge, mux se serve","MCU safety","Vuoti gradini zone cieche","Caduta bordo sentiero","P1","Fase 3","Da valutare","Gradino simulato e soglie conservative","VL53L5CX/VL53L1X"
"IMU","CANDIDATO_DA_VALUTARE","","1","","=D17*E17","","3.3/5","","","","I2C/SPI/UART","Vicino al baricentro, antivibrazione","MCU/ROS stability","Assetto e yaw-rate","Ribaltamento non anticipato","P1","Fase 3","Da valutare","Pitch/roll noti e vibrazione controllata","BNO085/BNO086 come base"
"LoRa","CANDIDATO_DA_VALUTARE","","2","","=D18*E18","","3.3/5","","","","SPI/UART","Antenne protette","SOS/sentry pager","Fallback e allerta campo","Nessuna notifica remota locale","P2","Fase 6","Da valutare","Range test e pacchetti stato","868 MHz EU"
"MLX90640 termico","CANDIDATO_DA_VALUTARE","","1","","=D19*E19","","3.3","","","","I2C","Staffa sentry orientata","Firmware sentry","Rilevamento notturno passivo","Falsi positivi se non confermato","P2","Fase 6","Da valutare","Test persona/animale domestico/sfondo caldo","Confermare con ToF/LiDAR"
"Fari LED/MOSFET","CANDIDATO_DA_VALUTARE","","1 set","","=D20*E20","","24","","","","PWM/GPIO","Frontale e carter driver","Firmware sentry","Deterrenza visiva non offensiva","Sentry solo passiva","P2","Fase 6","Da valutare","Duty-cycle, temperatura e consumo","Verificare normative locali"
"Box IP e pressacavi","CANDIDATO_DA_VALUTARE","","1 set","","=D21*E21","","","","","IP67/IP68","N/A","Montaggio telaio e accesso","N/A","Protezione acqua fango urti","Elettronica esposta","P0","Fase 2","Da valutare","Ispezione, guarnizioni, passacavi, condensa","Separare potenza e logica"
